,Date,Price,Open,High,Low,Change %
245,"Apr 30, 2020",268.09,268.65,269.64,267.23,-0.45%
246,"Apr 29, 2020",269.31,268.86,269.5,268.6,0.20%
247,"Apr 28, 2020",268.76,268.54,269.22,266.59,0.03%
248,"Apr 27, 2020",268.68,268.89,268.89,268.07,-0.17%
249,"Apr 26, 2020",269.13,268.88,269.96,268.45,0.36%
250,"Apr 25, 2020",269.13,268.88,269.96,268.45,0.36%
251,"Apr 24, 2020",269.13,268.88,269.96,268.45,0.36%
252,"Apr 23, 2020",268.16,267.36,269.43,266.93,0.62%
253,"Apr 22, 2020",266.5,267.38,267.38,265.94,0.02%
254,"Apr 21, 2020",266.46,267.78,268.43,266.46,-0.01%
255,"Apr 20, 2020",266.49,267.0,267.15,266.05,-0.39%
256,"Apr 19, 2020",267.52,268.0,268.34,266.67,0.19%
257,"Apr 18, 2020",267.52,268.0,268.34,266.67,0.19%
258,"Apr 17, 2020",267.52,268.0,268.34,266.67,0.19%
259,"Apr 16, 2020",267.01,267.05,268.33,266.99,0.60%
260,"Apr 15, 2020",265.41,266.07,268.65,264.42,0.53%
261,"Apr 14, 2020",264.0,264.0,266.44,263.63,0.47%
262,"Apr 13, 2020",262.76,265.44,266.44,262.76,-1.07%
263,"Apr 12, 2020",262.76,265.44,266.44,262.76,-1.07%
264,"Apr 11, 2020",262.76,265.44,266.44,262.76,-1.07%
265,"Apr 10, 2020",262.76,265.44,266.44,262.76,-1.07%
266,"Apr 09, 2020",262.76,265.44,266.44,262.76,-1.07%
267,"Apr 08, 2020",265.61,264.81,265.82,264.36,0.11%
268,"Apr 07, 2020",265.33,264.28,266.08,263.91,-0.18%
269,"Apr 06, 2020",265.8,266.01,268.0,265.8,0.31%
270,"Apr 05, 2020",264.97,265.51,270.74,264.97,-0.20%
271,"Apr 04, 2020",264.97,265.51,270.74,264.97,-0.20%
272,"Apr 03, 2020",264.97,265.51,270.74,264.97,-0.20%
273,"Apr 02, 2020",265.51,264.5,268.56,264.5,-0.70%
274,"Apr 01, 2020",267.37,263.63,267.37,263.47,1.66%
275,"Mar 31, 2020",263.01,265.5,266.74,261.96,-0.84%
276,"Mar 30, 2020",265.23,265.07,266.5,261.2,0.06%
277,"Mar 29, 2020",265.07,264.63,266.75,260.42,1.94%
278,"Mar 28, 2020",265.07,264.63,266.75,260.42,1.94%
279,"Mar 27, 2020",265.07,264.63,266.75,260.42,1.94%
280,"Mar 26, 2020",260.03,263.3,265.29,260.03,-1.29%
281,"Mar 25, 2020",263.43,260.05,265.68,260.05,0.70%
282,"Mar 24, 2020",261.59,265.27,265.54,261.56,-1.54%
283,"Mar 23, 2020",265.67,262.21,266.19,261.0,2.21%
284,"Mar 22, 2020",259.93,262.0,264.34,257.69,0.67%
285,"Mar 21, 2020",259.93,262.0,264.34,257.69,0.67%
286,"Mar 20, 2020",259.93,262.0,264.34,257.69,0.67%
287,"Mar 19, 2020",258.2,261.0,261.89,255.0,-1.11%
288,"Mar 18, 2020",261.09,255.1,261.09,253.48,2.32%
289,"Mar 17, 2020",255.16,259.66,263.05,255.16,-3.14%
290,"Mar 16, 2020",263.43,257.64,263.43,255.34,2.53%
291,"Mar 15, 2020",256.92,265.0,265.0,253.51,-4.01%
292,"Mar 14, 2020",256.92,265.0,265.0,253.51,-4.01%
293,"Mar 13, 2020",256.92,265.0,265.0,253.51,-4.01%
